geom;voltage;typ;lat;lon;v_id
1;9.52257601112577;52.3604090734199;substation;"220000;110000";010100002031BF0D00FA780650D02C30411E1E590EA5305A41
2;9.11321011483187;52.5438533448625;substation;220000;010100002031BF0D008ABBA6D19BF52E41C5F34D365E515A41
3;9.38974515063535;52.0263130791669;substation;"380000;110000";010100002031BF0D00DFB7354C1BE62F41BDD21E2665F55941
4;9.12526488538257;52.5382642673981;substation;"380000;220000";010100002031BF0D000C3148AE17002F41095923775E505A41
5;10.366274939217;52.2846467643429;substation;"380000;220000";010100002031BF0D003FA19972B09B3141E78858722B235A41
6;9.91814868737007;52.3799963378317;substation;"220000;110000";010100002031BF0D006502F142D3D8304173A488DD21345A41
7;9.91720013781868;52.2781708386433;substation;"380000;110000";010100002031BF0D00703860AB69D83041222CCDDB04225A41
8;10.4149924241538;53.4126068813272;substation;"380000;110000";010100002031BF0D0099DF3CA7DFB031419612CCAD39EE5A41
9;10.3787706356666;53.2197927695925;substation;"380000;110000";010100002031BF0D00403854761FA13141B110746423CB5A41
10;12.9416466491702;52.5621144028949;sub_station;"380000;220000;110000";010100002031BF0D0048D5D78391FB35414DDBCC08A2545A41
11;13.2061057633794;52.6571349808542;substation;220000;010100002031BF0D000C8D0CF8906E3641996190D2A4655A41
12;13.709669749528;52.5397952998981;substation;"380000;220000;110000";010100002031BF0D00631E997489493741E6E80485A4505A41
13;11.3704263094168;48.2914922548393;substation;"380000;220000;110000";010100002031BF0D004F2D1E11565033417F9A5A9F377B5741
14;11.8132329291411;48.2212664672329;substation;"220000;110000";010100002031BF0D00E9F30413E31034418C38D03CC06F5741
15;11.868156362746;48.206802931481;substation;"380000;220000";010100002031BF0D00AC087A1FC52834415099452C646D5741
16;10.7610404155909;52.3677293936344;substation;380000;010100002031BF0D00F1AA1A8A59473241988495ADF2315A41
17;13.4947634286677;52.5897644694349;substation;"380000;110000";010100002031BF0D009528793116EC364190F3D64294595A41
18;13.6834769799404;54.1390906728297;substation;"380000;220000";010100002031BF0D000A6C8FB0253E374108603EA2DF735B41
19;11.2939727766244;48.0520427780619;substation;"220000;110000";010100002031BF0D00B2426C4C172F334143C647512F545741
20;9.98460987860596;53.7411288147163;substation;"380000;220000;110000";010100002031BF0D00321CFDAFB9F53041D45EA635602A5B41
21;10.1575015621948;53.5551316816054;substation;"380000;110000";010100002031BF0D00FA93D1E6E740314164DE446F43085B41
22;9.20210421541834;53.8951574267943;substation;"380000;220000;110000";010100002031BF0D00F6CA681CEB422F415C074954BD465B41
23;9.98853665499904;53.7662776782512;substation;"220000;110000";010100002031BF0D00C9B36FD06EF73041BB30B7F0FF2E5B41
24;9.726992011952;54.291421027399;substation;"220000;110000";010100002031BF0D001A6D37CCB385304153321A9231905B41
25;9.34476101692227;53.9218370813918;substation;380000;010100002031BF0D00953E7313FCBE2F4100EC1AC3A94B5B41
26;9.34400181356048;53.8517774981988;substation;"380000;220000";010100002031BF0D0050FB360C53BE2F41AF0F6EA3BD3E5B41
27;9.77654483603303;53.6906352940911;substation;"380000;110000";010100002031BF0D004B632CFE3F9B30417C4F67AB19215B41
28;9.52960742228339;53.6189900644199;substation;"220000;110000";010100002031BF0D007B8BB30BDF2F3041A4346A51F5135B41
29;10.382166718339;52.9932540575609;substation;380000;010100002031BF0D001CB82D8399A23141D3ACDE8C1DA25A41
30;9.50178971212981;53.5428143880013;substation;"380000;220000;110000";010100002031BF0D002EF47264C6233041CB68197B02065B41
31;9.74615085631454;50.9168400022101;substation;"380000;110000";010100002031BF0D003DD6EE8C088E3041E3B00136C1335941
32;11.1228546271538;50.9989090757631;substation;"380000;220000;110000";010100002031BF0D0089296583AEE43241457B3330EB415941
33;10.3859411718194;51.0018133141165;substation;"380000;110000";010100002031BF0D006388C2AE3DA43141F911EE9E6B425941
34;8.122642304058;53.5605160665145;substation;"380000;220000";010100002031BF0D00D93A74CF20982B41982E77B23F095B41
35;8.08541549318952;53.6058005404115;substation;"220000;110000";010100002031BF0D009BB8CDABC0772B41C16F9C948A115B41
36;8.06005701182283;53.6202026205826;substation;"220000;155000";010100002031BF0D009AE177E2B2612B410F03D6352E145B41
37;11.6389127811118;52.2687347042793;substation;"380000;220000";010100002031BF0D00C9391CD815C53341E26442B057205A41
38;13.2115276810432;52.5806278358522;substation;"380000;110000";010100002031BF0D0099D3B788EC703641516A66C3F1575A41
39;13.1433929675199;53.9081470154338;substation;"380000;110000";010100002031BF0D00D714FCCF4B53364138F811E622495B41
40;11.727353429381;52.5689470103264;substation;"380000;110000";010100002031BF0D0063BC19038BEB334156307CDBDA555A41
41;11.8531057441334;53.0865444992511;sub_station;"380000;110000";010100002031BF0D00930C1DB239223441D8517698FBB25A41
42;12.1869848529515;53.8157751978716;substation;"380000;220000";010100002031BF0D00BF08B9F268B3344156553CCF1B385B41
43;12.4993660253653;52.4052284426773;substation;"220000;110000";010100002031BF0D0069A6A90F3F3B35412233838EA0385A41
44;13.5061534749833;52.4738223315289;substation;"220000;110000";010100002031BF0D00EB009E200AF13641EA04670FDC445A41
45;13.305751171113;52.2307818364272;substation;"380000;220000;110000";010100002031BF0D005CE2EA71E5993641468976749A195A41
46;13.5241987812625;52.5356343208068;substation;"380000;220000;110000";010100002031BF0D00ACA7F5EBE2F83641CEE97D22E64F5A41
47;13.4564307414427;52.521451771614;substation;"380000;110000";010100002031BF0D00B5C49D046BDB364150DAA5595D4D5A41
48;13.5370442267661;52.5374565540653;substation;110000;010100002031BF0D00B06FC3DE78FE3641919C2B8239505A41
49;9.25938384929792;51.0603668960072;substation;"380000;110000";010100002031BF0D0047D852CABB742F410BA278B88A4C5941
50;8.31334018942867;49.0090434774209;substation;"380000;220000;110000";010100002031BF0D00173DE697F93D2C41487A6C014BF15741
51;7.75349549403634;48.0993557332288;substation;"380000;220000;110000";010100002031BF0D000DDA2C5716572A4185C03102E25B5741
52;8.4384675602346;49.2524597535318;plant;;010100002031BF0D00BD0CE2D2CBAA2C4182D8D2E6BB195841
53;8.51211138039068;49.2939656609087;substation;"220000;110000";010100002031BF0D00A2DA12CFD7EA2C417200EF4DA6205841
54;8.62320969485988;49.356582256425;substation;"380000;220000";010100002031BF0D003852DD9F764B2D41F2259BFD172B5841
55;8.44554253599103;48.9860882032815;substation;"220000;110000";010100002031BF0D00A38439FDF2B02C411D52B24B7DED5741
56;8.64158407529801;48.8900525292561;substation;"220000;110000";010100002031BF0D006D56527A715B2D4116F11F8A98DD5741
57;8.56374402466983;53.0317216060084;substation;"380000;110000";010100002031BF0D00C35E8B3FBF172D4123D6CFED10A95A41
58;8.47470705828713;53.4286512121137;substation;"380000;220000;110000";010100002031BF0D00FC4A112650CA2C416A23B8F026F15A41
59;8.51888184370396;53.2026352807953;substation;"220000;110000";010100002031BF0D00945E8D2DBBF02C410E02971106C85A41
60;8.12076914209295;48.7048354581841;substation;"220000;110000";010100002031BF0D00CBB280C57F962B41EAE1B86F07BF5741
61;11.4407746551302;48.1718035642057;substation;"380000;110000";010100002031BF0D0059CB7935ED6E334154A64F24AF675741
62;13.3264050703954;50.3463722141376;substation;;010100002031BF0D00060365A0E0A236418B97D4B9FBD15841
63;12.1147644756885;49.6311550818562;substation;"380000;220000;110000";010100002031BF0D00D9859A6901943441E624EE6F0C595841
64;8.69516076534637;53.0925361336519;substation;"380000;110000";010100002031BF0D00D7A2CEBC098A2D417B42873E11B45A41
65;8.77244299222179;49.9746686767501;substation;"380000;220000;110000";010100002031BF0D00AAB118C63FCD2D41B1BAA983E8925841
66;8.41937108501457;49.6337357146719;substation;"380000;220000";010100002031BF0D00292C3734309A2C4147F062527B595841
