geom;i_th_max;c;x;r;length_m;frequency;wires;cables;voltage;v_id_2;v_id_1;l_id
56;57;58;380000;3;2;50;56049;0.700613;14.01225;767.8713;291.4548;010200002031BF0D0002000000C35E8B3FBF172D4123D6CFED10A95A41FC4A112650CA2C416A23B8F026F15A41
57;30;59;380000;3;2;50;90790;1.134875;22.6975;1243.823;472.108;010200002031BF0D00020000002EF47264C6233041CB68197B02065B41945E8D2DBBF02C410E02971106C85A41
58;60;50;220000;3;2;50;41529;1.66116;13.28928;477.5835;107.9754;010200002031BF0D0002000000CBB280C57F962B41EAE1B86F07BF5741173DE697F93D2C41487A6C014BF15741
59;13;61;380000;6;4;;17438;0.054494;4.3595;238.9006;362.7104;010200002031BF0D00020000004F2D1E11565033417F9A5A9F377B574159CB7935ED6E334154A64F24AF675741
60;62;63;380000;3;;;163671;;;;;010200002031BF0D0002000000060365A0E0A236418B97D4B9FBD15841D9859A6901943441E624EE6F0C595841
61;57;64;380000;3;;50;14982;;;;;010200002031BF0D0002000000C35E8B3FBF172D4123D6CFED10A95A41D7A2CEBC098A2D417B42873E11B45A41
62;59;64;380000;3;;50;37346;;;;;010200002031BF0D0002000000945E8D2DBBF02C410E02971106C85A41D7A2CEBC098A2D417B42873E11B45A41
63;65;66;380000;3;4;50;64400;0.4025;16.1;882.28;669.76;010200002031BF0D0002000000AAB118C63FCD2D41B1BAA983E8925841292C3734309A2C4147F062527B595841
64;67;66;380000;3;4;50;55599;0.347494;13.89975;761.7063;578.2296;010200002031BF0D000200000063D921A9637F2C41C0B746FD32945841292C3734309A2C4147F062527B595841
65;68;69;220000;3;4;50;23114;0.46228;7.39648;265.811;120.1928;010200002031BF0D0002000000E1651350712D2D413DD0B4CD0C785841DB7F8B8716942C4119F29C5A56665841
66;70;71;380000;3;4;50;51283;0.320519;12.82075;702.5771;533.3432;010200002031BF0D000200000061033DEA1AD434414660255826C3594106AB5EA81F3434413B00DB877F885941
67;72;73;380000;3;3;50;54278;0.452317;13.5695;743.6086;423.3684;010200002031BF0D0002000000133B069E40593641C10982A383D259413985FCF35B9D3741B41DC95EA8DA5941
68;37;74;380000;3;3;50;118952;0.991267;29.738;1629.6424;927.8256;010200002031BF0D0002000000C9391CD815C53341E26442B057205A419272C909E18F3341F3A00498B1A75941
69;71;74;380000;3;4;50;38634;0.241463;9.6585;529.2858;401.7936;010200002031BF0D000200000006AB5EA81F3434413B00DB877F8859419272C909E18F3341F3A00498B1A75941
70;37;71;380000;3;;50;156913;;;;;010200002031BF0D0002000000C9391CD815C53341E26442B057205A4106AB5EA81F3434413B00DB877F885941
71;75;76;380000;3;4;;54106;0.338163;13.5265;741.2522;562.7024;010200002031BF0D00020000001084CB0E2D902D41C866709254C25941FECED648E28C2E41584DCA8C947D5941
72;75;76;380000;3;4;;54106;0.338163;13.5265;741.2522;562.7024;010200002031BF0D00020000001084CB0E2D902D41C866709254C25941FECED648E28C2E41584DCA8C947D5941
73;76;49;380000;3;4;;41955;0.262219;10.48875;574.7835;436.332;010200002031BF0D0002000000FECED648E28C2E41584DCA8C947D594147D852CABB742F410BA278B88A4C5941
74;76;49;380000;3;4;;41955;0.262219;10.48875;574.7835;436.332;010200002031BF0D0002000000FECED648E28C2E41584DCA8C947D594147D852CABB742F410BA278B88A4C5941
75;72;71;380000;3;3;50;110358;0.91965;27.5895;1511.9046;860.7924;010200002031BF0D0002000000133B069E40593641C10982A383D2594106AB5EA81F3434413B00DB877F885941
76;39;18;380000;3;;50;56436;;;;;010200002031BF0D0002000000D714FCCF4B53364138F811E622495B410A6C8FB0253E374108603EA2DF735B41
77;10;45;220000;3;3;50;70102;1.869387;22.43264;806.173;273.3978;010200002031BF0D000200000048D5D78391FB35414DDBCC08A2545A415CE2EA71E5993641468976749A195A41
78;10;73;380000;3;3;50;130670;1.088917;32.6675;1790.179;1019.226;010200002031BF0D000200000048D5D78391FB35414DDBCC08A2545A413985FCF35B9D3741B41DC95EA8DA5941
79;45;73;220000;3;;50;62038;;;;;010200002031BF0D00020000005CE2EA71E5993641468976749A195A413985FCF35B9D3741B41DC95EA8DA5941
80;77;32;380000;3;4;50;77738;0.485863;19.4345;1065.0106;808.4752;010200002031BF0D000200000092FFE5F154C83341C95150E728F2584189296583AEE43241457B3330EB415941
81;78;79;380000;3;;50;22016;;;;;010200002031BF0D000200000003DDD1D30395384116E257EC59A259418FE26D54BBA43841F9C17DCAE4895941
82;78;79;380000;3;;50;21999;;;;;010200002031BF0D000200000003DDD1D30395384116E257EC59A259418FE26D54BBA43841F9C17DCAE4895941
83;80;78;380000;3;;50;62180;;;;;010200002031BF0D0002000000D0D0A9B5F9813841088204E425DD594103DDD1D30395384116E257EC59A25941
84;80;78;380000;3;;50;62195;;;;;010200002031BF0D0002000000D0D0A9B5F9813841088204E425DD594103DDD1D30395384116E257EC59A25941
