l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
75,94543520,23494515,275000,6,line-cable,,National Grid-National Grid (underground),National Grid,4198.0,,,,
76,43303585,4800321,275000,3-6,line,50,-ZZA Line,National Grid,7847.0,,,,
77,43303585,109730296,275000-400000,3-6,line,50,,National Grid,10028.0,,,,
78,43303585,97561542,275000-400000,3-6,line,50,,National Grid,9316.0,,,,
79,87204522,31545125,275000,3-6,line,,-Drakelow-Bustleholm,,34667.0,,,,
80,87204522,92458761,275000-400000,3-6,line,50,,,52997.0,,,,
81,87204522,92221420,275000-400000,3-6,line,50,,,38150.0,,,,
82,358553906,358557463,275000,3-6,line,50,,,5291.0,,,,
83,358553906,274887677,275000,3-6,line-cable,50,,,2691.0,,,,
84,307717807,307769998,275000,6,line,,,,8098.0,,,,
85,94530230,103574419,275000,3,line,,,,341.0,,,,
86,94530230,23229136,275000,3-6,line,,-National Grid Warley-Tilbury,,13694.0,,,,
87,88799419,143221984,275000,3-6,line,50,,,55944.0,,,,
88,88799419,91955171,275000,3-6,line,50,-National GridFourstones-?,National Grid,83867.0,,,,
89,159736514,115887437,275000,3-6,line,,,,3263.0,,,,
90,159736514,90547685,275000,3-6,line,50,,,6430.0,,,,
91,159736514,143905069,275000,3-6,line,50,-High Marnham-?,,57454.0,,,,
92,159736514,211549457,275000,3-6,line,50,,,26908.0,,,,
93,159736514,160616357,275000,3-6,line,50,,,18059.0,,,,
94,159736514,147475796,275000,6,line,,,,2788.0,,,,
95,95749833,95750355,275000,3-6,line,50,,,7102.0,,,,
96,23229136,22975329,275000,3-6,line,,-National Grid Warley-Waltham Cross,,33218.0,,,,
97,133323988,118821349,275000,6,line,,,,50440.0,,,,
98,133323988,52980661,275000,3-6,line,,,,47777.0,,,,
99,23232738,23234477,275000,3-6,line-cable,50,National Grid Watford-Iver,,14224.0,,,,
100,148382435,260300448,275000,3,line,,Scottish Power Auchencrosh-Coylton,SP Transmission,16031.0,,,,
101,23164132,293583855,275000,3-6,line-cable,50,,,11511.0,,,,
102,23164132,153884024,275000,3-6,line,50,,,15668.0,,,,
103,203880168,151084328,275000,3-6,line,,,,4640.0,,,,
104,203880168,25784732,275000,3-6,line,,,,4716.0,,,,
105,200511209,69763961,275000,3-6,line,,-ZZA Line,National Grid,17891.0,,,,
106,200511209,4800321,275000,3-6,line,,-ZZA Line,National Grid,31413.0,,,,
107,200511209,200635683,275000,3-6,line,,,National Grid,9664.0,,,,
108,200511209,183904046,275000,3-6,line,,,National Grid,17874.0,,,,
109,103150826,103150854,275000,6,line,,West Thurrock-?,,1085.0,,,,
110,76468460,89836009,275000,3-6,line,,,,15099.0,,,,
111,76468460,27332350,275000,3-6,line,,,,42280.0,,,,
112,310502642,96630594,275000,3-6,line,,,,17060.0,,,,
113,222205173,308724719,275000,3-6,line,,,,3439.0,,,,
114,45087479,292470578,275000,3-6,line,50,-National Grid Melksham-Iron Acton-National Grid Iron Acton-Melksham,National Grid,33389.0,,,,
115,45087479,375637875,275000,3-6,line,50,-National Grid Iron Acton-Whitson,,34805.0,,,,
116,308653819,308802191,275000,,cable,,,,5552.0,,,,
117,27332350,27163121,275000,6,line,,,,9381.0,,,,
118,27332350,32075668,275000,6,line-cable,,,,2939.0,,,,
119,49499923,23494515,275000,3-6,line,,Hams Hall-Nechells-National Grid Hams Hall-?,,10380.0,,,,
120,49499923,49499925,275000,3,line,,National Grid Hams Hall-?,,650.0,,,,
121,49499925,55284068,275000-400000,3-6,line,,-Hams Hall-Coventry,,20088.0,,,,
122,92260633,55284068,275000,3-6,line,50,-National Grid,National Grid,18745.0,,,,
123,260838185,260838186,275000,,cable,,,,219.0,,,,
124,183904046,184584639,275000,3-6,line,,,,4456.0,,,,
125,183904046,96630594,275000,3-6,line,,,,11447.0,,,,
126,23132983,264378992,275000,6,line,,Brimsdown-?,,7333.0,,,,
127,23132983,264374113,275000,6,line,,,,2189.0,,,,
128,280442180,24307438,275000,3-6,line,,-Swansea North-TATA Steel Port Talbot,,17470.0,,,,
129,280442180,192220228,275000,3-6,line,,-Swansea North-TATA Steel Port Talbot,,17354.0,,,,
130,280442182,295657862,275000,3-6,line,,,,1135.0,,,,
131,81048391,30930911,275000,3-6,line,50,Penwortham-Kirkby-Penswortham-Kirkby,,34658.0,,,,
132,81048391,81098733,275000,3-6,line,50,-Penwortham-Kirkby,,23645.0,,,,
133,118821349,119294903,275000,3-6,line,,,,99798.0,,,,
134,118821349,89836009,275000,3-6,line,,,,101612.0,,,,
135,118821349,119294905,275000,3-6,line,,,,100180.0,,,,
136,118821349,111528318,275000,3-6,line,,,,60912.0,,,,
137,23164256,274887677,275000,3-6,line,50,,,7806.0,,,,
138,23164256,25201930,275000,3-6,line,50,,,9183.0,,,,
139,22975329,4746208,275000,3-6,line,,-National Grid Elstree-Waltham Cross,,26240.0,,,,
140,22975329,264378992,275000,3-6,line,,-National Grid Waltham Cross-Brimsdown,,6010.0,,,,
