id,lon,lat,name,osm_id,voltage
75,10.6412868212,48.0274512347,Umspannstation Irsingen,27200252,220000;110000
76,10.840869612,48.2380310296,Umspannwerk Oberottmarshausen,30613895,380000;220000;110000
77,8.58869053016,49.8155140536,Umspannanlage Pfungstadt,147521567,220000;110000
78,8.41937109995,49.633735773,Station Bürstadt,149987048,380000;220000
79,7.79256711877,49.8105488054,Niederhausen,152022992,220000;110000
80,6.61240236819,51.0359242961,KW Neurath,95434457,380000;220000;110000
81,6.70975594363,51.0909324889,Station Gohrpunkt,27919734,220000;110000
82,6.57648211259,51.0555954976,RWE Kraftwerk Frimmersdorf,24267119,None
83,8.40896176879,53.1902359299,Huntorf,42872354,220000
84,8.40843815979,53.189889895,Druckluftspeicher- und Gasturbinenkraftwerk Huntorf,42872353,None
85,9.42428005004,48.0632490765,None,129790129,None
86,9.64533509004,47.7445961312,380kV-Umspannwerk Grünkraut,31131325,380000;110000
87,9.42551240462,48.0643508455,Umspannwerk Herbertingen,25306752,380000;220000;110000
88,8.25885999843,47.6342116713,Tiengen,31367940,380000;220000;110000
89,9.92382990036,51.8975617893,Erzhausen,160093341,220000
90,9.85139361,51.6491352573,Hardegsen,43072656,220000;110000
91,9.79733614301,52.0008392548,Godenau,30109913,220000;110000
92,8.4082887667,49.5286235359,BASF,152924508,220000
93,8.27327813752,49.0293980998,Umspannwerk Maximiliansau,276249131,220000;110000
94,8.30845540559,49.2571048721,Weingarten,259561755,380000
95,8.35233395252,49.421274345,Netzleitstelle Mutterstadt,152924498,220000;110000
96,7.31928346307,49.3048184245,Beeden,156402422,220000;110000
97,7.24037476757,49.357649774,Schaltanlage St. Barbara,89352550,380000;220000;110000
98,6.99647662278,49.3754093214,Umspannwerk Uchtelfangen,54359256,380000;220000;110000
99,6.62053564346,49.748938677,Station Trier,145680894,220000
100,7.44948702291,50.4025259823,Station Weißenthurm,395847307,380000;220000;110000
101,6.92013046525,49.9705819078,Station Wengerohr,66764943,220000;110000
102,6.47473981323,49.9224693104,Station Niederstedem,151967290,380000;220000;110000
103,6.70228545077,49.8289944498,Station Quint,151967291,220000;110000
104,7.72920204998,49.4826474406,Otterbach,152107815,220000;110000
105,8.06823779885,49.5778592657,Umspannwerk Kerzenheim,152107810,220000;110000
106,13.3057533343,52.2307818653,Thyrow,29331499,380000;220000;110000
107,12.941646654,52.562114416,Wustermark,27149550,380000;220000;110000
108,13.5241987965,52.5356343229,Umspannwerk Marzahn,22973070,380000;220000;110000
109,13.5061280288,52.4738227067,Umspannwerk Wuhlheide,22973052,220000;110000
110,8.12061826656,48.7053527235,Bühl,39011884,220000;110000
111,8.24872906758,48.8463165645,220-kV-Umspannwerk Kuppenheim,32151621,220000;110000
112,7.91072937249,48.5012883583,Umspannwerk Weier,146962222,220000;110000
113,10.319136562,47.6827365441,Umspannwerk Kempten-Au,90807341,220000;110000
114,13.5243777706,52.5346497374,None,285823537,None
115,6.99718360761,51.2501055851,Station Mettmann,87767090,None
116,6.99834137208,51.2487364318,Station Mettmann,87767098,220000
117,8.47470705829,53.4286512121,Unterweser,32076853,380000;220000;110000
118,8.05283756803,53.333880966,Conneforde 110/220 kV,173178563,220000;110000
119,8.87300666064,50.1308545998,Dörnigheim 220 kV,23881272,220000;110000
120,8.73513579725,50.1591915715,Umspannwerk Frankfurt Nord,4826893,220000;110000
121,6.82804663785,51.1626523773,Station Reisholz,23192640,220000;110000
122,6.80182369662,51.1247880921,Station Sankt Peter 220 kV,49577401,220000;110000
123,6.84699935556,51.2055917716,Station Eller,23140544,220000;110000
124,6.96568445858,51.0693295495,Station Opladen,22761839,380000;220000;110000
125,12.7474625181,48.1487453565,Umspannwerk Pirach,91080806,220000;110000
126,12.7508635976,48.1499964864,Solarpark Kollmann,167578660,None
127,9.31819528239,54.7160494381,Flensburg,87952821,380000;220000;110000;20000
128,9.72699275599,54.2914209888,Audorf,33148774,220000;110000
129,6.9673439573,51.4908619073,LMG,150267232,220000
130,6.92675898534,51.499205703,Station Büscherhof,24921206,380000;220000
131,8.04936553103,47.5508771255,Laufenburg,50319857,380000;220000
132,12.2428369604,50.5674531944,Umspannwerk Herlasgrün,167352587,220000;110000
133,12.0449825822,50.7812567747,Umspannwerk Weida,156673637,380000;220000;110000
134,9.20895996968,49.1741759854,None,89184327,None
135,11.8681563736,48.2068029366,Umspannwerk Ottenhofen,26245195,380000;220000
136,11.8132329291,48.2212664672,Umspannwerk Neufinsing,24158385,220000;110000
137,12.1301906386,47.9131654927,Umspannwerk Marienberg,75865676,220000
138,11.5813705466,48.7648940898,Irsching,137602559,380000;220000;110000
139,7.04738454638,50.905528652,Station Gremberghoven,29374542,220000;110000
140,7.02354454753,50.9990684274,Station Dünnwald,27871140,220000
141,7.09582677575,50.826871687,Station Stockem,22796434,220000;110000
142,7.19316581982,50.7983350911,Station Siegburg,22767509,220000;110000
143,12.1504016939,49.0127518424,Umspannwerk Regensburg,29417741,220000
144,12.0822545112,49.2974477846,Schwandorf,28956649,380000;220000;110000
145,6.84223119513,50.859864735,Kraftwerkschaltanlage Knapsack 1,201153704,380000;220000
146,9.40058895618,48.6669524437,EnBW Umspannwerk Wendlingen,26260052,380000;220000;110000
147,9.23641291791,48.9269583939,Marbach,97825259,220000;110000
148,9.3789745083,48.8798048643,Umspannwerk Winnenden,32205824,220000;110000
149,9.34400180742,53.8517775008,Brokdorf,87722999,380000;220000
150,9.44963657331,53.9672865118,Itzehoe/West,60032354,220000;110000
